Common Name,Formal Name,Type,ISO 4217 Currency Code,ISO 4217 Currency Name,ITU-T Telephone Code,ISO 3166-1 2 Letter Code,ISO 3166-1 3 Letter Code,ISO 3166-1 Number,IANA Country Code TLD,
1,Afghanistan,Islamic State of Afghanistan,Kabul,AFN,Afghani,93,AF,AFG,4,.af
2,Albania,Republic of Albania,Tirana,ALL,Lek,355,AL,ALB,8,.al
3,Algeria,People's Democratic Republic of Algeria,Algiers,DZD,Dinar,213,DZ,DZA,12,.dz
4,Andorra,Principality of Andorra,Andorra la Vella,EUR,Euro,376,AD,AND,20,.ad
5,Angola,Republic of Angola,Luanda,AOA,Kwanza,244,AO,AGO,24,.ao
6,Antigua and Barbuda,,Saint John's,XCD,Dollar,-267,AG,ATG,28,.ag
7,Argentina,Argentine Republic,Buenos Aires,ARS,Peso,54,AR,ARG,32,.ar
8,Armenia,Republic of Armenia,Yerevan,AMD,Dram,374,AM,ARM,51,.am
9,Australia,Commonwealth of Australia,Canberra,AUD,Dollar,61,AU,AUS,36,.au
10,Austria,Republic of Austria,Vienna,EUR,Euro,43,AT,AUT,40,.at
